hello,hello2,phase,millis
1760023913215,theboxer000,start_to_first,235
1760023913416,theboxer000,first_to_second,201
1760023917177,theboxer000,start_to_first,303
1760023917377,theboxer000,first_to_second,201
1760023920771,theboxer000,start_to_first,107
1760023920973,theboxer000,first_to_second,202
1760023924463,theboxer000,start_to_first,286
1760023924613,theboxer000,first_to_second,151
1760023931420,theboxer000,start_to_first,353
1760023931621,theboxer000,first_to_second,201
1760023935726,theboxer000,start_to_first,303
1760023935935,theboxer000,first_to_second,208
1760023941636,theboxer000,start_to_first,264
1760023941821,theboxer000,first_to_second,184
1760023948172,theboxer000,start_to_first,352
1760023956875,theboxer000,start_to_first,302
1760023957076,theboxer000,first_to_second,201
1760023961569,theboxer000,start_to_first,301
1760023961775,theboxer000,first_to_second,205
1760023966522,theboxer000,start_to_first,253
1760023970222,theboxer000,first_to_second,205
1760023973813,theboxer000,start_to_first,285
1760023973964,theboxer000,first_to_second,151
1760023978821,theboxer000,start_to_first,203
1760023979021,theboxer000,first_to_second,200
1760023982218,theboxer000,start_to_first,253
1760023982371,theboxer000,first_to_second,151
1760023986217,theboxer000,start_to_first,102
1760023990717,theboxer000,start_to_first,301
1760023990869,theboxer000,first_to_second,152
1760023994125,theboxer000,start_to_first,253
1760023994328,theboxer000,first_to_second,202
1760023998929,theboxer000,start_to_first,153
1760023999078,theboxer000,first_to_second,149
1760024004522,theboxer000,start_to_first,303
1760024004726,theboxer000,first_to_second,205
1760024010781,theboxer000,start_to_first,308
1760024010928,theboxer000,first_to_second,149
1760024016268,theboxer000,start_to_first,103
1760024016474,theboxer000,first_to_second,205
1760024021413,theboxer000,start_to_first,134
1760024021615,theboxer000,first_to_second,201
1760024024873,theboxer000,start_to_first,252
1760024025074,theboxer000,first_to_second,201
1760024028677,theboxer000,start_to_first,201
1760024028868,theboxer000,first_to_second,190
1760024032775,theboxer000,start_to_first,102
1760024032976,theboxer000,first_to_second,200
1760024054263,theboxer000,start_to_first,335
1760026952725,theboxer000,start_to_first,185
1760026957379,theboxer000,start_to_first,205
1760026957579,theboxer000,first_to_second,202
1760026963018,theboxer000,start_to_first,238
1760026963200,theboxer000,first_to_second,182
1760026971616,theboxer000,start_to_first,237
1760026971818,theboxer000,first_to_second,202
1760026976095,theboxer000,start_to_first,154
1760026985283,theboxer000,start_to_first,261
1760026985482,theboxer000,first_to_second,198
1760026991571,theboxer000,start_to_first,303
1760026991777,theboxer000,first_to_second,206
1760027005080,theboxer000,start_to_first,101
1760027011216,theboxer000,start_to_first,189
1760027011419,theboxer000,first_to_second,202
1760027015575,theboxer000,start_to_first,202
1760027020129,theboxer000,first_to_second,197
1760027024777,theboxer000,start_to_first,303
1760027024978,theboxer000,first_to_second,201
1760027030078,theboxer000,start_to_first,204
1760027030232,theboxer000,first_to_second,154
1760027034332,theboxer000,start_to_first,252
1760027038674,theboxer000,start_to_first,253
1760027038877,theboxer000,first_to_second,203
1760027042867,theboxer000,start_to_first,286
1760027043066,theboxer000,first_to_second,198
1760027048371,theboxer000,start_to_first,304
1760027048572,theboxer000,first_to_second,201
1760027051515,theboxer000,start_to_first,285
1760027051719,theboxer000,first_to_second,203
1760027056517,theboxer000,start_to_first,202
1760027056719,theboxer000,first_to_second,202
1760027061372,theboxer000,first_to_second,194
1760027066917,theboxer000,start_to_first,353
1760027073026,theboxer000,start_to_first,354
1760027073230,theboxer000,first_to_second,204
1760027078279,theboxer000,start_to_first,200
1760027078428,theboxer000,first_to_second,149
1760027083228,theboxer000,start_to_first,302
1760027083380,theboxer000,first_to_second,152
1760027087664,theboxer000,start_to_first,286
1760027087815,theboxer000,first_to_second,151
1760027096165,theboxer000,start_to_first,236
1760027096367,theboxer000,first_to_second,202
1760027101127,theboxer000,start_to_first,251
1760027101329,theboxer000,first_to_second,202
1760027104574,theboxer000,start_to_first,255
1760027104776,theboxer000,first_to_second,202
1760027108320,theboxer000,start_to_first,101
1760027111224,theboxer000,start_to_first,302
1760027111426,theboxer000,first_to_second,202
1760027116781,theboxer000,start_to_first,304
1760027116974,theboxer000,first_to_second,193
1760027120973,theboxer000,start_to_first,300
1760027121178,theboxer000,first_to_second,205
1760027126265,theboxer000,start_to_first,247
1760027126418,theboxer000,first_to_second,152
1760027129264,theboxer000,start_to_first,135
1760027129465,theboxer000,first_to_second,201
1760027132480,theboxer000,start_to_first,103
1760027132669,theboxer000,first_to_second,189
1760027136720,theboxer000,start_to_first,101
1760027136918,theboxer000,first_to_second,198
1760027141814,theboxer000,start_to_first,186
1760027146372,theboxer000,start_to_first,303
1760027150470,theboxer000,start_to_first,403
1760027150624,theboxer000,first_to_second,154
1760027154976,theboxer000,start_to_first,257
1760027155129,theboxer000,first_to_second,153
1760027158166,theboxer000,first_to_second,150
1760027161873,theboxer000,start_to_first,251
1760027162023,theboxer000,first_to_second,150
1760027166677,theboxer000,start_to_first,253
1760027166884,theboxer000,first_to_second,207
1760027170584,theboxer000,start_to_first,308
1760027170717,theboxer000,first_to_second,132
1760027174527,theboxer000,start_to_first,253
1760027174715,theboxer000,first_to_second,188
1760027178465,theboxer000,start_to_first,186
1760027178615,theboxer000,first_to_second,150
1760027182680,theboxer000,start_to_first,302
